Date,Close,High,Low,Open,Volume
30-08-2024,25235.90039,25268.34961,25199.40039,25249.69922,638200
02-09-2024,25278.69922,25333.65039,25235.5,25333.59961,222800
03-09-2024,25279.84961,25321.69922,25235.80078,25313.40039,212100
04-09-2024,25198.69922,25216,25083.80078,25089.94922,253800
05-09-2024,25145.09961,25275.44922,25127.75,25250.5,222200
06-09-2024,24852.15039,25168.75,24801.30078,25093.69922,311700
09-09-2024,24936.40039,24957.5,24753.15039,24823.40039,254400
10-09-2024,25041.09961,25130.5,24896.80078,24999.40039,251300
11-09-2024,24918.44922,25113.69922,24885.15039,25034,279200
12-09-2024,25388.90039,25433.34961,24941.44922,25059.65039,380100
13-09-2024,25356.5,25430.5,25292.44922,25430.44922,250800
16-09-2024,25383.75,25445.69922,25336.19922,25406.65039,168700
17-09-2024,25418.55078,25441.65039,25352.25,25416.90039,216000
18-09-2024,25377.55078,25482.19922,25285.55078,25402.40039,215700
19-09-2024,25415.80078,25611.94922,25376.05078,25487.05078,314500
20-09-2024,25790.94922,25849.25,25426.59961,25525.94922,533100
23-09-2024,25939.05078,25956,25847.34961,25872.55078,209200
24-09-2024,25940.40039,26011.55078,25886.84961,25921.44922,384100
25-09-2024,26004.15039,26032.80078,25871.34961,25899.44922,278500
26-09-2024,26216.05078,26250.90039,25998.40039,26005.40039,370900
27-09-2024,26178.94922,26277.34961,26151.40039,26248.25,490300
30-09-2024,25810.84961,26134.69922,25794.09961,26061.30078,343100
01-10-2024,25796.90039,25907.59961,25739.19922,25788.44922,247400
03-10-2024,25250.09961,25639.44922,25230.30078,25452.84961,423400
04-10-2024,25014.59961,25485.05078,24966.80078,25181.90039,374900
07-10-2024,24795.75,25143,24694.34961,25084.09961,374300
08-10-2024,25013.15039,25044,24756.80078,24832.19922,333200
09-10-2024,24981.94922,25234.05078,24947.69922,25065.80078,290600
10-10-2024,24998.44922,25134.05078,24979.40039,25067.05078,261400
11-10-2024,24964.25,25028.65039,24920.05078,24985.30078,210500
14-10-2024,25127.94922,25159.75,25017.5,25023.44922,206400
15-10-2024,25057.34961,25212.05078,25008.15039,25186.30078,257200
16-10-2024,24971.30078,25093.40039,24908.44922,25008.55078,226800
17-10-2024,24749.84961,25029.5,24728.90039,25027.40039,252800
18-10-2024,24854.05078,24886.19922,24567.65039,24664.94922,290900
21-10-2024,24781.09961,24978.30078,24679.59961,24956.15039,242000
22-10-2024,24472.09961,24882,24445.80078,24798.65039,279500
23-10-2024,24435.5,24604.25,24378.09961,24378.15039,284600
24-10-2024,24399.40039,24480.65039,24341.19922,24412.69922,216700
25-10-2024,24180.80078,24440.25,24073.90039,24418.05078,372600
28-10-2024,24339.15039,24492.59961,24134.90039,24251.09961,278600
29-10-2024,24466.84961,24484.5,24140.84961,24328.84961,332000
30-10-2024,24340.84961,24498.19922,24307.30078,24371.44922,285200
31-10-2024,24205.34961,24372.44922,24172.59961,24349.84961,287000
01-11-2024,24304.34961,24368.25,24280.19922,24302.75,38800
04-11-2024,23995.34961,24316.75,23816.15039,24315.75,285500
05-11-2024,24213.30078,24229.05078,23842.75,23916.5,289500
06-11-2024,24484.05078,24537.59961,24204.05078,24308.75,351100
07-11-2024,24199.34961,24503.34961,24179.05078,24489.59961,322200
08-11-2024,24148.19922,24276.15039,24066.65039,24207.69922,298700
11-11-2024,24141.30078,24336.80078,24004.59961,24087.25,273400
12-11-2024,23883.44922,24242,23839.15039,24225.80078,255800
13-11-2024,23559.05078,23873.59961,23509.59961,23822.44922,304600
14-11-2024,23532.69922,23675.90039,23484.15039,23542.15039,257700
18-11-2024,23453.80078,23606.80078,23350.40039,23605.30078,263300
19-11-2024,23518.5,23780.65039,23464.80078,23529.55078,297500
21-11-2024,23349.90039,23507.30078,23263.15039,23488.44922,420300
22-11-2024,23907.25,23956.09961,23359,23411.80078,367600
25-11-2024,24221.90039,24351.55078,24135.44922,24253.55078,687200
26-11-2024,24194.5,24343.30078,24125.40039,24343.30078,230700
27-11-2024,24274.90039,24354.55078,24145.65039,24204.80078,295000
28-11-2024,23914.15039,24345.75,23873.34961,24274.15039,366700
29-11-2024,24131.09961,24188.44922,23927.15039,23927.15039,282100
02-12-2024,24276.05078,24301.69922,24008.65039,24140.84961,220400
03-12-2024,24457.15039,24481.34961,24280,24367.5,339500
04-12-2024,24467.44922,24573.19922,24366.30078,24488.75,348000
05-12-2024,24708.40039,24857.75,24295.55078,24539.15039,361500
06-12-2024,24677.80078,24751.05078,24620.5,24729.44922,226700
09-12-2024,24619,24705,24580.05078,24633.90039,248100
10-12-2024,24610.05078,24677.80078,24510.65039,24652.65039,261000
11-12-2024,24641.80078,24691.75,24583.84961,24620.5,187300
12-12-2024,24548.69922,24675.25,24527.94922,24604.44922,266100
13-12-2024,24768.30078,24792.30078,24180.80078,24498.34961,310100
16-12-2024,24668.25,24781.25,24601.75,24753.40039,187600
17-12-2024,24336,24624.09961,24303.44922,24584.80078,264900
18-12-2024,24198.84961,24394.44922,24149.84961,24297.94922,235300
19-12-2024,23951.69922,24004.90039,23870.30078,23877.15039,271100
20-12-2024,23587.5,24065.80078,23537.34961,23960.69922,442700
23-12-2024,23753.44922,23869.55078,23647.19922,23738.19922,189800
24-12-2024,23727.65039,23867.65039,23685.15039,23769.09961,177700
26-12-2024,23750.19922,23854.5,23653.59961,23775.80078,177700
27-12-2024,23813.40039,23938.84961,23800.59961,23801.40039,176800
30-12-2024,23644.90039,23915.34961,23599.30078,23796.90039,364900
